Website,Agency Owner,Bureau Owner,Subcomponent Owner (optional)
bis.doc.gov,Department of Commerce,Office of the Chief Information Officer,
boulder.doc.gov,Department of Commerce,Office of the Chief Information Officer,
calendar.library.doc.gov,Department of Commerce,Office of the Chief Information Officer,
cldp.doc.gov,Department of Commerce,Office of the Chief Information Officer,
commerce.gov,Department of Commerce,Office of the Chief Information Officer,
dbmws.freqcoord.ntia.doc.gov,Department of Commerce,Office of the Chief Information Officer,
dcfs.ntia.doc.gov,Department of Commerce,Office of the Chief Information Officer,
efoia.bis.doc.gov,Department of Commerce,Office of the Chief Information Officer,
emenuapps.ita.doc.gov,Department of Commerce,Office of the Chief Information Officer,
freqcoord.ntia.doc.gov,Department of Commerce,Office of the Chief Information Officer,
fs.ntia.doc.gov,Department of Commerce,Office of the Chief Information Officer,
library.doc.gov,Department of Commerce,Office of the Chief Information Officer,
ntia.doc.gov,Department of Commerce,Office of the Chief Information Officer,
ntiaotiant2.ntia.doc.gov,Department of Commerce,Office of the Chief Information Officer,
pvt.doc.gov,Department of Commerce,Office of the Chief Information Officer,
sfc.doc.gov,Department of Commerce,Office of the Chief Information Officer,
sft.doc.gov,Department of Commerce,Office of the Chief Information Officer,
sft2.doc.gov,Department of Commerce,Office of the Chief Information Officer,
slid.bis.doc.gov,Department of Commerce,Office of the Chief Information Officer,
snapr.bis.doc.gov,Department of Commerce,Office of the Chief Information Officer,
st2.ntia.doc.gov,Department of Commerce,Office of the Chief Information Officer,
support.oig.doc.gov,Department of Commerce,Office of the Chief Information Officer,
tac.bis.doc.gov,Department of Commerce,Office of the Chief Information Officer,
icams-portal.gov,Department of Commerce,Office of the Federal Coordinator for Meteorolgy,
bis.data.commerce.gov,Department of Commerce,Office of the Secretary,
census.data.commerce.gov,Department of Commerce,Office of the Secretary,
eda.data.commerce.gov,Department of Commerce,Office of the Secretary,
ita.data.commerce.gov,Department of Commerce,Office of the Secretary,
mbda.data.commerce.gov,Department of Commerce,Office of the Secretary,
ntia.data.commerce.gov,Department of Commerce,Office of the Secretary,
ntis.data.commerce.gov,Department of Commerce,Office of the Secretary,
uspto.data.commerce.gov,Department of Commerce,Office of the Secretary,
spaceweather.gov,Department of Commerce,Space Environment Center W/NP9,
usicecenter.gov,Department of Commerce,U. S. National Ice Center,
10millionpatents.uspto.gov,Department of Commerce,USPTO,
assignment.uspto.gov,Department of Commerce,USPTO,
auth.uspto.gov,Department of Commerce,USPTO,
bulkdata.uspto.gov,Department of Commerce,USPTO,
certifiedcopycenter.uspto.gov,Department of Commerce,USPTO,
components.uspto.gov,Department of Commerce,USPTO,
cybertraining.uspto.gov,Department of Commerce,USPTO,
developer.uspto.gov,Department of Commerce,USPTO,
eog-tmng.uspto.gov,Department of Commerce,USPTO,
epas.uspto.gov,Department of Commerce,USPTO,
equiphq.uspto.gov,Department of Commerce,USPTO,
estta.uspto.gov,Department of Commerce,USPTO,
etas.uspto.gov,Department of Commerce,USPTO,
fees-dmz-alx1.uspto.gov,Department of Commerce,USPTO,
fees.uspto.gov,Department of Commerce,USPTO,
fqt-tsdr.etc.uspto.gov,Department of Commerce,USPTO,
globaldossier.uspto.gov,Department of Commerce,USPTO,
idm-tmng.uspto.gov,Department of Commerce,USPTO,
ipidentifier.uspto.gov,Department of Commerce,USPTO,
legacy-assignments.uspto.gov,Department of Commerce,USPTO,
mpep.uspto.gov,Department of Commerce,USPTO,
my.uspto.gov,Department of Commerce,USPTO,
oedci.uspto.gov,Department of Commerce,USPTO,
patentcenter-dmz-alx1.uspto.gov,Department of Commerce,USPTO,
patentcenter.uspto.gov,Department of Commerce,USPTO,
ped.uspto.gov,Department of Commerce,USPTO,
ppubs.uspto.gov,Department of Commerce,USPTO,
pwdservice.uspto.gov,Department of Commerce,USPTO,
seqdata.uspto.gov,Department of Commerce,USPTO,
sit-tsdr.etc.uspto.gov,Department of Commerce,USPTO,
tbmp.uspto.gov,Department of Commerce,USPTO,
teamportal-byr.uspto.gov,Department of Commerce,USPTO,
teamportal.uspto.gov,Department of Commerce,USPTO,
tfsr.uspto.gov,Department of Commerce,USPTO,
tmdesigncodes.uspto.gov,Department of Commerce,USPTO,
tmep.uspto.gov,Department of Commerce,USPTO,
tmsearch.uspto.gov,Department of Commerce,USPTO,
trademarkcenter.uspto.gov,Department of Commerce,USPTO,
tsdr.uspto.gov,Department of Commerce,USPTO,
tsdrsec-fqt.etc.uspto.gov,Department of Commerce,USPTO,
tsdrsec-sit.etc.uspto.gov,Department of Commerce,USPTO,
ttabvue.uspto.gov,Department of Commerce,USPTO,
uspto.gov,Department of Commerce,USPTO,
vendors.uspto.gov,Department of Commerce,USPTO,
vpnportal-byr.uspto.gov,Department of Commerce,USPTO,
vpnportal.uspto.gov,Department of Commerce,USPTO,
www-search-aws.uspto.gov,Department of Commerce,USPTO,
www-search.uspto.gov,Department of Commerce,USPTO,
www-web-search-alx.uspto.gov,Department of Commerce,USPTO,
www-web-search-byr.uspto.gov,Department of Commerce,USPTO,
tsunami.gov,Department of Commerce,West Coast & Alaska Tsunami Warning Center,
adlnet.gov,Department of Defense,Advanced Distributed Learning Initiative,
lrs.adlnet.gov,Department of Defense,Advanced Distributed Learning Initiative,
101arw.ang.af.mil,Department of Defense,Air Force,
102iw.ang.af.mil,Department of Defense,Air Force,
103aw.ang.af.mil,Department of Defense,Air Force,
104fw.ang.af.mil,Department of Defense,Air Force,
105aw.ang.af.mil,Department of Defense,Air Force,
106rqw.ang.af.mil,Department of Defense,Air Force,
107attackwing.ang.af.mil,Department of Defense,Air Force,
108thwing.ang.af.mil,Department of Defense,Air Force,
109aw.ang.af.mil,Department of Defense,Air Force,
10af.afrc.af.mil,Department of Defense,Air Force,
110wg.ang.af.mil,Department of Defense,Air Force,
111attackwing.ang.af.mil,Department of Defense,Air Force,
113wg.ang.af.mil,Department of Defense,Air Force,
114fw.ang.af.mil,Department of Defense,Air Force,
115fw.ang.af.mil,Department of Defense,Air Force,
116acw.ang.af.mil,Department of Defense,Air Force,
117arw.ang.af.mil,Department of Defense,Air Force,
118wg.ang.af.mil,Department of Defense,Air Force,
119wg.ang.af.mil,Department of Defense,Air Force,
120thairliftwing.ang.af.mil,Department of Defense,Air Force,
121arw.ang.af.mil,Department of Defense,Air Force,
122fw.ang.af.mil,Department of Defense,Air Force,
123aw.ang.af.mil,Department of Defense,Air Force,
124thfighterwing.ang.af.mil,Department of Defense,Air Force,
125fw.ang.af.mil,Department of Defense,Air Force,
126arw.ang.af.mil,Department of Defense,Air Force,
127wg.ang.af.mil,Department of Defense,Air Force,
128arw.ang.af.mil,Department of Defense,Air Force,
129rqw.ang.af.mil,Department of Defense,Air Force,
12af.acc.af.mil,Department of Defense,Air Force,
12ftw.af.mil,Department of Defense,Air Force,
130aw.ang.af.mil,Department of Defense,Air Force,
131bw.ang.af.mil,Department of Defense,Air Force,
132dwing.ang.af.mil,Department of Defense,Air Force,
133aw.ang.af.mil,Department of Defense,Air Force,
134arw.ang.af.mil,Department of Defense,Air Force,
136aw.ang.af.mil,Department of Defense,Air Force,
137sow.ang.af.mil,Department of Defense,Air Force,
138fw.ang.af.mil,Department of Defense,Air Force,
139aw.ang.af.mil,Department of Defense,Air Force,
140wg.ang.af.mil,Department of Defense,Air Force,
141arw.ang.af.mil,Department of Defense,Air Force,
142wg.ang.af.mil,Department of Defense,Air Force,
143aw.ang.af.mil,Department of Defense,Air Force,
144fw.ang.af.mil,Department of Defense,Air Force,
145aw.ang.af.mil,Department of Defense,Air Force,
146aw.ang.af.mil,Department of Defense,Air Force,
147atkw.ang.af.mil,Department of Defense,Air Force,
148fw.ang.af.mil,Department of Defense,Air Force,
149fw.ang.af.mil,Department of Defense,Air Force,
150sow.ang.af.mil,Department of Defense,Air Force,
151arw.ang.af.mil,Department of Defense,Air Force,
152aw.ang.af.mil,Department of Defense,Air Force,
153aw.ang.af.mil,Department of Defense,Air Force,
154wg.ang.af.mil,Department of Defense,Air Force,
155arw.ang.af.mil,Department of Defense,Air Force,
156wg.ang.af.mil,Department of Defense,Air Force,
157arw.ang.af.mil,Department of Defense,Air Force,
158fw.ang.af.mil,Department of Defense,Air Force,
159fw.ang.af.mil,Department of Defense,Air Force,
15af.acc.af.mil,Department of Defense,Air Force,
15wing.af.mil,Department of Defense,Air Force,
161arw.ang.af.mil,Department of Defense,Air Force,
162wing.ang.af.mil,Department of Defense,Air Force,
163atkw.ang.af.mil,Department of Defense,Air Force,
164aw.ang.af.mil,Department of Defense,Air Force,
165aw.ang.af.mil,Department of Defense,Air Force,
166aw.ang.af.mil,Department of Defense,Air Force,
167aw.ang.af.mil,Department of Defense,Air Force,
168wg.ang.af.mil,Department of Defense,Air Force,
169fw.ang.af.mil,Department of Defense,Air Force,
16af.af.mil,Department of Defense,Air Force,
171arw.ang.af.mil,Department of Defense,Air Force,
172aw.ang.af.mil,Department of Defense,Air Force,
173fw.ang.af.mil,Department of Defense,Air Force,
174attackwing.ang.af.mil,Department of Defense,Air Force,
176wg.ang.af.mil,Department of Defense,Air Force,
177fw.ang.af.mil,Department of Defense,Air Force,
178wing.ang.af.mil,Department of Defense,Air Force,
180fw.ang.af.mil,Department of Defense,Air Force,
182aw.ang.af.mil,Department of Defense,Air Force,
183wg.ang.af.mil,Department of Defense,Air Force,
184iw.ang.af.mil,Department of Defense,Air Force,
185arw.ang.af.mil,Department of Defense,Air Force,
186arw.ang.af.mil,Department of Defense,Air Force,
187fw.ang.af.mil,Department of Defense,Air Force,
188wg.ang.af.mil,Department of Defense,Air Force,
189aw.ang.af.mil,Department of Defense,Air Force,
18af.amc.af.mil,Department of Defense,Air Force,
190arw.ang.af.mil,Department of Defense,Air Force,
192wg.ang.af.mil,Department of Defense,Air Force,
193sow.ang.af.mil,Department of Defense,Air Force,
194wg.ang.af.mil,Department of Defense,Air Force,
195wg.ang.af.mil,Department of Defense,Air Force,
1af.acc.af.mil,Department of Defense,Air Force,
20af.af.mil,Department of Defense,Air Force,
22af.afrc.af.mil,Department of Defense,Air Force,
2af.aetc.af.mil,Department of Defense,Air Force,
301fw.afrc.af.mil,Department of Defense,Air Force,
302aw.afrc.af.mil,Department of Defense,Air Force,
307bw.afrc.af.mil,Department of Defense,Air Force,
310sw.afrc.af.mil,Department of Defense,Air Force,
315aw.afrc.af.mil,Department of Defense,Air Force,
33fw.af.mil,Department of Defense,Air Force,
349amw.afrc.af.mil,Department of Defense,Air Force,
352sow.af.mil,Department of Defense,Air Force,
353sow.af.mil,Department of Defense,Air Force,
37trw.af.mil,Department of Defense,Air Force,
388fw.acc.af.mil,Department of Defense,Air Force,
403wg.afrc.af.mil,Department of Defense,Air Force,
413ftg.afrc.af.mil,Department of Defense,Air Force,
419fw.afrc.af.mil,Department of Defense,Air Force,
433aw.afrc.af.mil,Department of Defense,Air Force,
442fw.afrc.af.mil,Department of Defense,Air Force,
445aw.afrc.af.mil,Department of Defense,Air Force,
446aw.afrc.af.mil,Department of Defense,Air Force,
459arw.afrc.af.mil,Department of Defense,Air Force,
477fg.afrc.af.mil,Department of Defense,Air Force,
492sow.af.mil,Department of Defense,Air Force,
4af.afrc.af.mil,Department of Defense,Air Force,
501csw.usafe.af.mil,Department of Defense,Air Force,
505ccw.acc.af.mil,Department of Defense,Air Force,
507arw.afrc.af.mil,Department of Defense,Air Force,
512aw.afrc.af.mil,Department of Defense,Air Force,
514amw.afrc.af.mil,Department of Defense,Air Force,
521amow.af.mil,Department of Defense,Air Force,
53rdwing.af.mil,Department of Defense,Air Force,
552acw.acc.af.mil,Department of Defense,Air Force,
557weatherwing.af.mil,Department of Defense,Air Force,
5af.pacaf.af.mil,Department of Defense,Air Force,
618tacc.amc.af.mil,Department of Defense,Air Force,
624rsg.afrc.af.mil,Department of Defense,Air Force,
7af.pacaf.af.mil,Department of Defense,Air Force,
8af.af.mil,Department of Defense,Air Force,
908aw.afrc.af.mil,Department of Defense,Air Force,
913ag.afrc.af.mil,Department of Defense,Air Force,
916arw.afrc.af.mil,Department of Defense,Air Force,
919sow.afrc.af.mil,Department of Defense,Air Force,
920rqw.afrc.af.mil,Department of Defense,Air Force,
926wing.afrc.af.mil,Department of Defense,Air Force,
927arw.afrc.af.mil,Department of Defense,Air Force,
931arw.afrc.af.mil,Department of Defense,Air Force,
932aw.afrc.af.mil,Department of Defense,Air Force,
940arw.afrc.af.mil,Department of Defense,Air Force,
944fw.afrc.af.mil,Department of Defense,Air Force,
960cyber.afrc.af.mil,Department of Defense,Air Force,
aatc.ang.af.mil,Department of Defense,Air Force,
acc.af.mil,Department of Defense,Air Force,
adr.af.mil,Department of Defense,Air Force,
aetc.af.mil,Department of Defense,Air Force,
af.mil,Department of Defense,Air Force,
afaa.af.mil,Department of Defense,Air Force,
afams.af.mil,Department of Defense,Air Force,
afcec.af.mil,Department of Defense,Air Force,
afcent.af.mil,Department of Defense,Air Force,
afdw.af.mil,Department of Defense,Air Force,
afgsc.af.mil,Department of Defense,Air Force,
afhistory.af.mil,Department of Defense,Air Force,
afhistoryandmuseums.af.mil,Department of Defense,Air Force,
afhra.af.mil,Department of Defense,Air Force,
afimsc.af.mil,Department of Defense,Air Force,
afinspectorgeneral.af.mil,Department of Defense,Air Force,
afjag.af.mil,Department of Defense,Air Force,
aflcmc.af.mil,Department of Defense,Air Force,
afmaa.af.mil,Department of Defense,Air Force,
afmc.af.mil,Department of Defense,Air Force,
afnwc.af.mil,Department of Defense,Air Force,
afotec.af.mil,Department of Defense,Air Force,
afpc.af.mil,Department of Defense,Air Force,
afrc.af.mil,Department of Defense,Air Force,
afrl.af.mil,Department of Defense,Air Force,
afsbirsttr.af.mil,Department of Defense,Air Force,
afsc.af.mil,Department of Defense,Air Force,
afsfc.af.mil,Department of Defense,Air Force,
afsoc.af.mil,Department of Defense,Air Force,
afspc.af.mil,Department of Defense,Air Force,
aft3.af.mil,Department of Defense,Air Force,
aftc.af.mil,Department of Defense,Air Force,
afwerx.af.mil,Department of Defense,Air Force,
aiaccelerator.af.mil,Department of Defense,Air Force,
airdomainintelligence.mil,Department of Defense,Air Force,
airforcebes.af.mil,Department of Defense,Air Force,
airforcemedicine.af.mil,Department of Defense,Air Force,
airforcesmallbiz.af.mil,Department of Defense,Air Force,
airforcespecialtactics.af.mil,Department of Defense,Air Force,
airman.af.mil,Department of Defense,Air Force,
airmanmagazine.af.mil,Department of Defense,Air Force,
airuniversity.af.edu,Department of Defense,Air Force,
alpenacrtc.ang.af.mil,Department of Defense,Air Force,
altus.af.mil,Department of Defense,Air Force,
amc.af.mil,Department of Defense,Air Force,
ang.af.mil,Department of Defense,Air Force,
angtec.ang.af.mil,Department of Defense,Air Force,
arnold.af.mil,Department of Defense,Air Force,
arpc.afrc.af.mil,Department of Defense,Air Force,
aviano.af.mil,Department of Defense,Air Force,
barksdale.af.mil,Department of Defense,Air Force,
basictraining.af.mil,Department of Defense,Air Force,
beale.af.mil,Department of Defense,Air Force,
beready.af.mil,Department of Defense,Air Force,
bmtflightphotos.af.mil,Department of Defense,Air Force,
cannon.af.mil,Department of Defense,Air Force,
columbus.af.mil,Department of Defense,Air Force,
compliance.af.mil,Department of Defense,Air Force,
creech.af.mil,Department of Defense,Air Force,
cyberspacecapabilitiescenter.af.mil,Department of Defense,Air Force,
data.af.mil,Department of Defense,Air Force,
dm.af.mil,Department of Defense,Air Force,
dobbins.afrc.af.mil,Department of Defense,Air Force,
doctrine.af.mil,Department of Defense,Air Force,
dover.af.mil,Department of Defense,Air Force,
dyess.af.mil,Department of Defense,Air Force,
e-publishing.af.mil,Department of Defense,Air Force,
eads.ang.af.mil,Department of Defense,Air Force,
edwards.af.mil,Department of Defense,Air Force,
eglin.af.mil,Department of Defense,Air Force,
eielson.af.mil,Department of Defense,Air Force,
ellsworth.af.mil,Department of Defense,Air Force,
expeditionarycenter.af.mil,Department of Defense,Air Force,
fairchild.af.mil,Department of Defense,Air Force,
futures.af.mil,Department of Defense,Air Force,
goodfellow.af.mil,Department of Defense,Air Force,
gosere.af.mil,Department of Defense,Air Force,
grandforks.af.mil,Department of Defense,Air Force,
grissom.afrc.af.mil,Department of Defense,Air Force,
gulfportcrtc.ang.af.mil,Department of Defense,Air Force,
hanscom.af.mil,Department of Defense,Air Force,
hill.af.mil,Department of Defense,Air Force,
holloman.af.mil,Department of Defense,Air Force,
homestead.afrc.af.mil,Department of Defense,Air Force,
honorguard.af.mil,Department of Defense,Air Force,
housing.af.mil,Department of Defense,Air Force,
hqrio.afrc.af.mil,Department of Defense,Air Force,
hurlburt.af.mil,Department of Defense,Air Force,
incirlik.af.mil,Department of Defense,Air Force,
jagreporter.af.mil,Department of Defense,Air Force,
jba.af.mil,Department of Defense,Air Force,
jbcharleston.jb.mil,Department of Defense,Air Force,
jbsa.mil,Department of Defense,Air Force,
kadena.af.mil,Department of Defense,Air Force,
keesler.af.mil,Department of Defense,Air Force,
kirtland.af.mil,Department of Defense,Air Force,
kunsan.af.mil,Department of Defense,Air Force,
lakenheath.af.mil,Department of Defense,Air Force,
learningprofessionals.af.mil,Department of Defense,Air Force,
littlerock.af.mil,Department of Defense,Air Force,
luke.af.mil,Department of Defense,Air Force,
macdill.af.mil,Department of Defense,Air Force,
malmstrom.af.mil,Department of Defense,Air Force,
march.afrc.af.mil,Department of Defense,Air Force,
mars.af.mil,Department of Defense,Air Force,
maxwell.af.mil,Department of Defense,Air Force,
mcchord.af.mil,Department of Defense,Air Force,
mcconnell.af.mil,Department of Defense,Air Force,
mildenhall.af.mil,Department of Defense,Air Force,
minneapolis.afrc.af.mil,Department of Defense,Air Force,
minot.af.mil,Department of Defense,Air Force,
misawa.af.mil,Department of Defense,Air Force,
modsim.af.mil,Department of Defense,Air Force,
moody.af.mil,Department of Defense,Air Force,
mortuary.af.mil,Department of Defense,Air Force,
mountainhome.af.mil,Department of Defense,Air Force,
music.af.mil,Department of Defense,Air Force,
nasic.af.mil,Department of Defense,Air Force,
nationalmuseum.af.mil,Department of Defense,Air Force,
nellis.af.mil,Department of Defense,Air Force,
netcents.af.mil,Department of Defense,Air Force,
niagara.afrc.af.mil,Department of Defense,Air Force,
njang.ang.af.mil,Department of Defense,Air Force,
offutt.af.mil,Department of Defense,Air Force,
osan.af.mil,Department of Defense,Air Force,
osi.af.mil,Department of Defense,Air Force,
pacaf.af.mil,Department of Defense,Air Force,
pittsburgh.afrc.af.mil,Department of Defense,Air Force,
pope.af.mil,Department of Defense,Air Force,
privacy.af.mil,Department of Defense,Air Force,
publicaffairs.af.mil,Department of Defense,Air Force,
ramstein.af.mil,Department of Defense,Air Force,
recruiting.af.mil,Department of Defense,Air Force,
resilience.af.mil,Department of Defense,Air Force,
retirees.af.mil,Department of Defense,Air Force,
robins.af.mil,Department of Defense,Air Force,
safcn.af.mil,Department of Defense,Air Force,
safety.af.mil,Department of Defense,Air Force,
saffm.hq.af.mil,Department of Defense,Air Force,
safgc.hq.af.mil,Department of Defense,Air Force,
safia.hq.af.mil,Department of Defense,Air Force,
safie.hq.af.mil,Department of Defense,Air Force,
safsq.hq.af.mil,Department of Defense,Air Force,
scientificadvisoryboard.af.mil,Department of Defense,Air Force,
scott.af.mil,Department of Defense,Air Force,
secretsdeclassified.af.mil,Department of Defense,Air Force,
seymourjohnson.af.mil,Department of Defense,Air Force,
shaw.af.mil,Department of Defense,Air Force,
sheppard.af.mil,Department of Defense,Air Force,
spaceforce.mil,Department of Defense,Air Force,
spangdahlem.af.mil,Department of Defense,Air Force,
specialwarfaretw.af.mil,Department of Defense,Air Force,
studyguides.af.mil,Department of Defense,Air Force,
tesseract.af.mil,Department of Defense,Air Force,
tinker.af.mil,Department of Defense,Air Force,
torch.aetc.af.mil,Department of Defense,Air Force,
trademark.af.mil,Department of Defense,Air Force,
travis.af.mil,Department of Defense,Air Force,
tyndall.af.mil,Department of Defense,Air Force,
usafa.af.mil,Department of Defense,Air Force,
usafe.af.mil,Department of Defense,Air Force,
vance.af.mil,Department of Defense,Air Force,
veterans-in-blue.af.mil,Department of Defense,Air Force,
volkfield.ang.af.mil,Department of Defense,Air Force,
wads.ang.af.mil,Department of Defense,Air Force,
warren.af.mil,Department of Defense,Air Force,
wavelength.af.mil,Department of Defense,Air Force,
westover.afrc.af.mil,Department of Defense,Air Force,
whiteman.af.mil,Department of Defense,Air Force,
woundedwarrior.af.mil,Department of Defense,Air Force,
wpafb.af.mil,Department of Defense,Air Force,
ww3.safaq.hq.af.mil,Department of Defense,Air Force,
yokota.af.mil,Department of Defense,Air Force,
youngstown.afrc.af.mil,Department of Defense,Air Force,
10thaamdc.army.mil,Department of Defense,Army,
11thairbornedivision.army.mil,Department of Defense,Army,
12cab.army.mil,Department of Defense,Army,
19bcd.army.mil,Department of Defense,Army,
1tsc.army.mil,Department of Defense,Army,
20cbrne.army.mil,Department of Defense,Army,
21tsc.army.mil,Department of Defense,Army,
2cr.army.mil,Department of Defense,Army,
2id.korea.army.mil,Department of Defense,Army,
2sigbde.army.mil,Department of Defense,Army,
409csb.army.mil,Department of Defense,Army,
41fab.army.mil,Department of Defense,Army,
55comcam.army.mil,Department of Defense,Army,
7atc.army.mil,Department of Defense,Army,
aepubs.eur.army.mil,Department of Defense,Army,
afod.eur.army.mil,Department of Defense,Army,
afrims.health.mil,Department of Defense,Army,
afsbeurope.army.mil,Department of Defense,Army,
amc.army.mil,Department of Defense,Army,
amcom.army.mil,Department of Defense,Army,
amlc.army.mil,Department of Defense,Army,
arcp.army.mil,Department of Defense,Army,
arcyber.army.mil,Department of Defense,Army,
armyupress.army.mil,Department of Defense,Army,
arnorth.army.mil,Department of Defense,Army,
arsouth.army.mil,Department of Defense,Army,
asafm.army.mil,Department of Defense,Army,
asb.army.mil,Department of Defense,Army,
aschq.army.mil,Department of Defense,Army,
avmc.army.mil,Department of Defense,Army,
awg.army.mil,Department of Defense,Army,
band.eur.army.mil,Department of Defense,Army,
barquist.tricare.mil,Department of Defense,Army,
ccad.army.mil,Department of Defense,Army,
cyber.army.mil,Department of Defense,Army,
cyberdefensereview.army.mil,Department of Defense,Army,
daaf-wx.army.mil,Department of Defense,Army,
dasadec.army.mil,Department of Defense,Army,
europeafrica.army.mil,Department of Defense,Army,
first.army.mil,Department of Defense,Army,
goarmysof.army.mil,Department of Defense,Army,
ig.army.mil,Department of Defense,Army,
innovation.army.mil,Department of Defense,Army,
jblmdesignstandards.army.mil,Department of Defense,Army,
jpeoaa.army.mil,Department of Defense,Army,
jpeocbrnd.osd.mil,Department of Defense,Army,
letterkenny.army.mil,Department of Defense,Army,
medlinet.amedd.army.mil,Department of Defense,Army,
mepcom.army.mil,Department of Defense,Army,
mrc-europe.army.mil,Department of Defense,Army,
mrdg.health.mil,Department of Defense,Army,
ncolcoe.army.mil,Department of Defense,Army,
ncoworldwide.army.mil,Department of Defense,Army,
obtportal.army.mil,Department of Defense,Army,
peosoldier.army.mil,Department of Defense,Army,
phcp.health.mil,Department of Defense,Army,
pscc.army.mil,Department of Defense,Army,
psmagazine.army.mil,Department of Defense,Army,
recruiting.army.mil,Department of Defense,Army,
skysoldiers.army.mil,Department of Defense,Army,
smdc.army.mil,Department of Defense,Army,
smtc.dodlive.mil,Department of Defense,Army,
swcs.mil,Department of Defense,Army,
tobyhanna.army.mil,Department of Defense,Army,
usafmcom.army.mil,Department of Defense,Army,
usanato.army.mil,Department of Defense,Army,
usapc.army.mil,Department of Defense,Army,
usar.army.mil,Department of Defense,Army,
usarcent.army.mil,Department of Defense,Army,
usarj.army.mil,Department of Defense,Army,
usarpac.army.mil,Department of Defense,Army,
agc.army.mil,Department of Defense,Army Corps of Engineers,
erdc.usace.army.mil,Department of Defense,Army Corps of Engineers,
hnc.usace.army.mil,Department of Defense,Army Corps of Engineers,
iwr.usace.army.mil,Department of Defense,Army Corps of Engineers,
lrb.usace.army.mil,Department of Defense,Army Corps of Engineers,
lrc.usace.army.mil,Department of Defense,Army Corps of Engineers,
lrd.usace.army.mil,Department of Defense,Army Corps of Engineers,
lrh.usace.army.mil,Department of Defense,Army Corps of Engineers,
lrl.usace.army.mil,Department of Defense,Army Corps of Engineers,
lrn.usace.army.mil,Department of Defense,Army Corps of Engineers,
lrp.usace.army.mil,Department of Defense,Army Corps of Engineers,
mvd.usace.army.mil,Department of Defense,Army Corps of Engineers,
mvm.usace.army.mil,Department of Defense,Army Corps of Engineers,
mvn.usace.army.mil,Department of Defense,Army Corps of Engineers,
nab.usace.army.mil,Department of Defense,Army Corps of Engineers,
nae.usace.army.mil,Department of Defense,Army Corps of Engineers,
nan.usace.army.mil,Department of Defense,Army Corps of Engineers,
nao.usace.army.mil,Department of Defense,Army Corps of Engineers,
nap.usace.army.mil,Department of Defense,Army Corps of Engineers,
nau.usace.army.mil,Department of Defense,Army Corps of Engineers,
nwd.usace.army.mil,Department of Defense,Army Corps of Engineers,
nwk.usace.army.mil,Department of Defense,Army Corps of Engineers,
nwo.usace.army.mil,Department of Defense,Army Corps of Engineers,
nwp.usace.army.mil,Department of Defense,Army Corps of Engineers,
nws.usace.army.mil,Department of Defense,Army Corps of Engineers,
nww.usace.army.mil,Department of Defense,Army Corps of Engineers,
poa.usace.army.mil,Department of Defense,Army Corps of Engineers,
pod.usace.army.mil,Department of Defense,Army Corps of Engineers,
pof.usace.army.mil,Department of Defense,Army Corps of Engineers,
poh.usace.army.mil,Department of Defense,Army Corps of Engineers,
poj.usace.army.mil,Department of Defense,Army Corps of Engineers,
publications.usace.army.mil,Department of Defense,Army Corps of Engineers,
rmc.usace.army.mil,Department of Defense,Army Corps of Engineers,
sac.usace.army.mil,Department of Defense,Army Corps of Engineers,
sad.usace.army.mil,Department of Defense,Army Corps of Engineers,
saj.usace.army.mil,Department of Defense,Army Corps of Engineers,
sam.usace.army.mil,Department of Defense,Army Corps of Engineers,
sas.usace.army.mil,Department of Defense,Army Corps of Engineers,
spa.usace.army.mil,Department of Defense,Army Corps of Engineers,
spk.usace.army.mil,Department of Defense,Army Corps of Engineers,
spl.usace.army.mil,Department of Defense,Army Corps of Engineers,
spn.usace.army.mil,Department of Defense,Army Corps of Engineers,
swf.usace.army.mil,Department of Defense,Army Corps of Engineers,
swg.usace.army.mil,Department of Defense,Army Corps of Engineers,
swl.usace.army.mil,Department of Defense,Army Corps of Engineers,
tam.usace.army.mil,Department of Defense,Army Corps of Engineers,
usace.army.mil,Department of Defense,Army Corps of Engineers,
capnhq.gov,Department of Defense,Civil Air Patrol,
elearning.capnhq.gov,Department of Defense,Civil Air Patrol,
accs.cap.gov,Department of Defense,"Civil Air Patrol, USAF AUX.",
akwg.cap.gov,Department of Defense,"Civil Air Patrol, USAF AUX.",
alwg.cap.gov,Department of Defense,"Civil Air Patrol, USAF AUX.",
area051.wawg.cap.gov,Department of Defense,"Civil Air Patrol, USAF AUX.",
arlingtonflyin.wawg.cap.gov,Department of Defense,"Civil Air Patrol, USAF AUX.",
arwg.cap.gov,Department of Defense,"Civil Air Patrol, USAF AUX.",
azwg.cap.gov,Department of Defense,"Civil Air Patrol, USAF AUX.",
bellingham.cap.gov,Department of Defense,"Civil Air Patrol, USAF AUX.",
cascadefalcon.wawg.cap.gov,Department of Defense,"Civil Air Patrol, USAF AUX.",
cloud.mdwg.cap.gov,Department of Defense,"Civil Air Patrol, USAF AUX.",
conference.wawg.cap.gov,Department of Defense,"Civil Air Patrol, USAF AUX.",
cowg.cap.gov,Department of Defense,"Civil Air Patrol, USAF AUX.",
cts.pawg.cap.gov,Department of Defense,"Civil Air Patrol, USAF AUX.",
ctwg.cap.gov,Department of Defense,"Civil Air Patrol, USAF AUX.",
cyber.cap.gov,Department of Defense,"Civil Air Patrol, USAF AUX.",
dewg.cap.gov,Department of Defense,"Civil Air Patrol, USAF AUX.",
